uid,up主昵称,B站地址,番茄指数,粉丝总数,作品总数,充电总人数,一级分类,二级分类
36046546,时空小涵,https://space.bilibili.com/36046546,3538.9,1177698,280,1402,游戏,单机游戏
144709395,小南QAQ,https://space.bilibili.com/144709395,3536.1,1176635,213,615,游戏,电子竞技
12820125,钱丢丢-,https://space.bilibili.com/12820125,3545,1173452,363,1407,知识,人文历史
7458285,爱否科技FView,https://space.bilibili.com/7458285,3549.2,1172790,368,5103,科技,数码
32606879,果子哥哥工作室,https://space.bilibili.com/32606879,3545.5,1172570,551,837,生活,搞笑
13826185,田逾欢sirius,https://space.bilibili.com/13826185,3550.9,1171099,412,493,时尚,美妆
4831263,黑猫大少爷,https://space.bilibili.com/4831263,3539.2,1170467,159,1562,游戏,单机游戏
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3547.7,1169907,225,814,生活,日常
395931838,虎牙赖神,https://space.bilibili.com/395931838,3535.7,1167524,501,61,游戏,电子竞技
138894648,大天搞笑配音,https://space.bilibili.com/138894648,3540.5,1165323,990,898,生活,搞笑
522383007,赵露思,https://space.bilibili.com/522383007,3545.2,1163749,38,,娱乐,明星
24314825,猫店,https://space.bilibili.com/24314825,3571.4,1161797,153,949,鬼畜,鬼畜调教
545795620,能量君andy,https://space.bilibili.com/545795620,3540.7,1161121,462,365,生活,日常
158119101,远古黑金,https://space.bilibili.com/158119101,3550.5,1160007,73,1986,动画,短片·手书·配音
336571870,小叮当的一家,https://space.bilibili.com/336571870,3535.3,1159163,71,58,生活,搞笑
254535526,混知,https://space.bilibili.com/254535526,3536.1,1158887,209,,知识,人文历史
185546,小可儿,https://space.bilibili.com/185546,3551.9,1158564,84,3309,音乐,翻唱
344849038,YJango,https://space.bilibili.com/344849038,3553.6,1156556,55,5699,知识,校园学习
7481602,安州牧,https://space.bilibili.com/7481602,3547.3,1155806,220,4124,知识,人文历史
2177677,出格字幕组,https://space.bilibili.com/2177677,3538.9,1155581,492,3212,动画,短片·手书·配音
351477766,是当归哦,https://space.bilibili.com/351477766,3542.4,1154788,229,938,生活,日常
3186399,月影Yancie,https://space.bilibili.com/3186399,3542.2,1154338,83,3671,游戏,单机游戏
7956629,大胖和软软,https://space.bilibili.com/7956629,3550.9,1153882,876,793,美食,美食测评
406871371,捏碳碳碳碳,https://space.bilibili.com/406871371,3542.3,1152262,118,908,动画,短片·手书·配音
